Common Name,Scientific Name,Family,Group,Description,Habitat,Conservation,iNat Observations,Taxon ID,Image 1,Image 2
Cuban jute,Sida rhombifolia,MALVACEAE,Wildflowers & Herbs,"Sida rhombifolia, commonly known as arrowleaf sida, is a perennial or sometimes annual plant in the Family Malvaceae, native to the Old World tropics and subtropics. Other common names include rhombus-leaved sida, Paddy's lucerne, jelly leaf, and also somewhat confusingly as Cuban jute, Queensland-hemp, and Indian hemp (although S. rhombifolia is not closely related to either jute or hemp). Synonyms include Malva rhombifolia. It is used in Ayurvedic medicine, where it is known as kurumthotti.",,,1,79077,images/Plants/Wildflowers & Herbs/Cuban jute_1.jpg,images/Plants/Wildflowers & Herbs/Cuban jute_2.jpg
Saint Augustine grass,Stenotaphrum secundatum,POACEAE,Wildflowers & Herbs,"This grass is widely planted and various cultivars have been characterized (Busey 1995, 2003; Komma 2003). While the rest of the genus is native to the eastern hemisphere, this species is nearly pantropical and presumably native at least to Africa and the Americas (Sauer 1972). Sauer (1972) noted that the &quot;species as a whole is primarily a coastal pioneer&quot;.",,,1,79210,images/Plants/Wildflowers & Herbs/Saint Augustine grass_1.jpg,images/Plants/Wildflowers & Herbs/Saint Augustine grass_2.jpg
Sundial Lupine,Lupinus perennis,Fabaceae,Wildflowers & Herbs,"Sundial lupine is native to eastern North America, but rare in New England, where it is known, at least historically, from every state. But in most states recent declines have been documented, and few populations remain. With its large, showy racemes of blue flowers, it is sometimes cultivated as a garden ornamental. Unusually for a rare plant, it is found both in habitats less disturbed by humans (floodplains, woodlands), and also in human-disturbed habitats (railroads, roadsides, rights-of-way, waste areas).","Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",,1,81528,images/Plants/Wildflowers & Herbs/Sundial Lupine_1.jpg,images/Plants/Wildflowers & Herbs/Sundial Lupine_2.jpg
Loblolly bay,Gordonia lasianthus,THEACEAE,Wildflowers & Herbs,"Gordonia lasianthus (loblolly-bay, holly-bay, gordonia, or bay) is a small to medium-sized evergreen tree or shrub found in acidic, swampy soils of pinelands and bays on the Atlantic and Gulf Coastal Plains of the southeastern United States. It is a member of the tea or family Theaceae. It is slow growing with soft, light-colored (varies in color from cream to carmine), fine-grained wood of little commercial value, although loblolly-bay could be managed as a source of pulpwood. When older specimens are cut, the wood exudes a strong scent. It is similar to a mixture of fresh oranges and pine sap.",,IUCN Red List: LC,1,81921,images/Plants/Wildflowers & Herbs/Loblolly bay_1.jpg,images/Plants/Wildflowers & Herbs/Loblolly bay_2.jpg
spatterdock,Nuphar advena,Nymphaeaceae,Wildflowers & Herbs,"Immigrant pond-lily, contrary to its popular name, is native to North America. At the northern extreme of its range it sneaks into New England, with populations in Connecticut and disjunct occurrences in Maine. The plant has food and medicinal value, and was used by the Iroquois to treat a variety of internal and external ailments.","Lacustrine (in lakes or ponds), riverine (in rivers or streams), shores of rivers or lakes",,1,82504,images/Plants/Wildflowers & Herbs/spatterdock_1.jpg,images/Plants/Wildflowers & Herbs/spatterdock_2.jpg
Eastern Blue-eyed Grass,Sisyrinchium atlanticum,Iridaceae,Wildflowers & Herbs,"Eastern blue-eyed grass is found in all New England states, where it grows in fields, meadows and the edges of wetlands. It is threatened or endangered in some midwestern states.","Marshes, meadows and fields, wetland margins (edges of wetlands)",,1,82581,images/Plants/Wildflowers & Herbs/Eastern Blue-eyed Grass_1.jpg,images/Plants/Wildflowers & Herbs/Eastern Blue-eyed Grass_2.jpg
Virginia sweetspire,Itea virginica,ITEACEAE,Wildflowers & Herbs,"Itea virginica, commonly known as Virginia willow or Virginia sweetspire, is a small North American flowering shrub that grows in low-lying woods and wetland margins. Virginia willow is a member of the Iteaceae family, and native to the southeast United States. Itea virginica has small flowers on pendulous racemes. 
Depending on location, the species will bloom in late spring to early summer. It prefers moist rich soil, but it can tolerate a wide range of soil types.",,,1,83152,images/Plants/Wildflowers & Herbs/Virginia sweetspire_1.jpg,images/Plants/Wildflowers & Herbs/Virginia sweetspire_2.jpg
dwarf huckleberry,Gaylussacia dumosa,ERICACEAE,Wildflowers & Herbs,"Gaylussacia dumosa is a species of flowering plant in the heath family known by the common names dwarf huckleberry, bush huckleberry, and gopherberry. It is native to eastern North America from Newfoundland to Louisiana and Florida. It occurs along the coastal plain and in the mountains.
This shrub branches from the base and grows erect to a maximum height around 75 centimeters (30 inches). It grows from a rhizome.",,,1,84171,images/Plants/Wildflowers & Herbs/dwarf huckleberry_1.jpg,images/Plants/Wildflowers & Herbs/dwarf huckleberry_2.jpg
slender yellow woodsorrel,Oxalis dillenii,Oxalidaceae,Wildflowers & Herbs,The Cherokee used slender yellow wood sorrel in herbal medicine. The leaves and flowers may be eaten in small quantities.,"Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",,1,84772,images/Plants/Wildflowers & Herbs/slender yellow woodsorrel_1.jpg,images/Plants/Wildflowers & Herbs/slender yellow woodsorrel_2.jpg
cutleaf coneflower,Rudbeckia laciniata,Asteraceae,Wildflowers & Herbs,"Some cultivars of green-headed coneflower are grown as garden ornamentals, and these may occasionally escape. Wild plants are typically found on lake and river shores, in swamps and riparian forests. Native Americans ate the young stems and leaves raw or cooked.","Floodplain (river or stream floodplains), forests, shores of rivers or lakes, swamps, wetland margins (edges of wetlands)",,1,116735,images/Plants/Wildflowers & Herbs/cutleaf coneflower_1.jpg,images/Plants/Wildflowers & Herbs/cutleaf coneflower_2.jpg
foxtail bog clubmoss,Lycopodiella alopecuroides,Lycopodiaceae,Wildflowers & Herbs,"Foxtail bog-clubmoss reaches the northernmost limit of its range in New England. It is relatively common along the Atlantic seaboard, but is rare in southern New England. There is also one disjunct population in Maine. It inhabits wet, sandy sites, and peat swamps.","Anthropogenic (human-disturbed or -maintained habitats), bogs, grassland",FL: S3S4 · NatureServe: G5 · US: N5,1,122049,images/Plants/Wildflowers & Herbs/foxtail bog clubmoss_1.jpg,images/Plants/Wildflowers & Herbs/foxtail bog clubmoss_2.jpg
American eelgrass,Vallisneria americana,Hydrocharitaceae,Wildflowers & Herbs,"Tape-grass is found throughout New England in lakes and slow-moving rivers in neutral to basic water. It is such an important food to canvasback ducks that it has been known to affect their migration patterns. It is also eaten by many other waterbirds. After the flowers are fertilized, the flower stalk coils downwards and pulls the fruit underwater.","Lacustrine (in lakes or ponds), riverine (in rivers or streams)",IUCN Red List: LC · NatureServe: G5 · US: N5,1,123050,images/Plants/Wildflowers & Herbs/American eelgrass_1.jpg,images/Plants/Wildflowers & Herbs/American eelgrass_2.jpg
tiny bluet,Houstonia pusilla,RUBIACEAE,Wildflowers & Herbs,"Houstonia pusilla (tiny bluet) is a plant in the family Rubiaceae native to the United States and common in the southeastern and central parts of the country, from Texas to Florida north to Long Island and South Dakota, plus an isolated population in Pima County, Arizona.
Houstonia pusilla is a short plant 6 inches (150 mm) or less in height with a tiny blue toned, yellow centered four lobed flower with a 0.25–0.33 inches (6.4–8.4 mm) diameter. The plant has a center rosette form and green herbaceous foliage with leaves up to 0.5 inches (13 mm) long. The leaves are opposite and each flower grows from a single branch growing from the leaf axil. This plant requires full sun and blooms in spring and early summer.",,,1,125101,images/Plants/Wildflowers & Herbs/tiny bluet_1.jpg,images/Plants/Wildflowers & Herbs/tiny bluet_2.jpg
sea ox-eye,Borrichia frutescens,ASTERACEAE,Wildflowers & Herbs,"Borrichia frutescens is a North American species of flowering plants in the family Asteraceae known by the common names sea oxeye, sea oxeye daisy, bushy seaside tansy, and sea-marigold. In Veracruz it is called verdolaga de mar. It is native to the United States and Mexico, where it occurs along the Atlantic and Gulf Coasts. Its distribution extends from Maryland south to Florida and west to Texas in the US, and along the Mexican Gulf Coast to the Yucatán Peninsula. It is an introduced species in some areas, such as Bermuda and Spain.",,FL: S5 · NatureServe: G5,1,127270,images/Plants/Wildflowers & Herbs/sea ox-eye_1.jpg,images/Plants/Wildflowers & Herbs/sea ox-eye_2.jpg
coastal plain honeycombhead,Balduina angustifolia,ASTERACEAE,Wildflowers & Herbs,"Balduina angustifolia, the coastal plain honeycombhead, is a species of plants in the sunflower family that grows in North America. It is native to the southeastern United States (Florida, Georgia, Alabama, Mississippi). An herb with branching stems. Each plant has 20 or more flower heads, each with yellow ray florets and yellow disc florets. The species grows in sandy soil, often in pinelands.",,FL: S4S5 · NatureServe: G5,1,127348,images/Plants/Wildflowers & Herbs/coastal plain honeycombhead_1.jpg,images/Plants/Wildflowers & Herbs/coastal plain honeycombhead_2.jpg
Southern Swamp Crinum,Crinum americanum,AMARYLLIDACEAE,Wildflowers & Herbs,"Crinum americanum is an aquatic angiosperm native to North America from Texas to South Carolina, as well as Mexico, Cuba, Jamaica and the Cayman Islands. Common names for this species include Florida swamp-lily, string lily, and southern swamp crinum. The species grows in small groups in still water habitats.
Crinum species are now members of the family Amaryllidaceae, subfamily Amaryllidoideae; they were formerly placed in the family Liliaceae.",,,1,128713,images/Plants/Wildflowers & Herbs/Southern Swamp Crinum_1.jpg,images/Plants/Wildflowers & Herbs/Southern Swamp Crinum_2.jpg
Gum bumelia,Sideroxylon lanuginosum,SAPOTACEAE,Wildflowers & Herbs,"Sideroxylon lanuginosum is a shrub or small tree of the family Sapotaceae. It is native to the Sun Belt and Midwest of the United States as well as Northeastern Mexico. Common names include gum bully, black haw, chittamwood, chittimwood, shittamwood, false buckthorn, gum bumelia, gum elastic, gum woolybucket, woolybucket bumelia, wooly buckthorn, wooly bumelia, ironwood and coma.
The fruit of Bumelia lanuginosa is edible but can cause stomach aches or dizziness if eaten in large quantities. The Kiowa and Comanche tribes both consumed them when ripened.",,IUCN Red List: LC,1,128748,images/Plants/Wildflowers & Herbs/Gum bumelia_1.jpg,images/Plants/Wildflowers & Herbs/Gum bumelia_2.jpg
Leavenworth's Tickseed,Coreopsis leavenworthii,ASTERACEAE,Wildflowers & Herbs,"Coreopsis leavenworthii, the Leavenworth's tickseed, is an annual or short lived perennial plant species in the family Asteraceae. It is often grouped within Coreopsis tinctoria which it resembles.",,NatureServe: G4G5 · US: S4S5,1,131152,images/Plants/Wildflowers & Herbs/Leavenworth's Tickseed_1.jpg,images/Plants/Wildflowers & Herbs/Leavenworth's Tickseed_2.jpg
oakleaf fleabane,Erigeron quercifolius,ASTERACEAE,Wildflowers & Herbs,"Erigeron () is a large genus of plants in the composite family (Asteraceae). It is placed in the tribe Astereae and is closely related to the Old World asters (Aster) and the true daisies (Bellis). The genus has a cosmopolitan distribution, and the highest diversity occurs in North America.",,,1,131153,images/Plants/Wildflowers & Herbs/oakleaf fleabane_1.jpg,images/Plants/Wildflowers & Herbs/oakleaf fleabane_2.jpg
Southern Seaside Spurge,Euphorbia bombensis,EUPHORBIACEAE,Wildflowers & Herbs,"Formerly included in the genus Chamaesyce, this species is reclassified under Euphorbia subg. Chamaesyce sect. Anisophyllum subsect. Hypericifoliae.",,,1,131559,images/Plants/Wildflowers & Herbs/Southern Seaside Spurge_1.jpg,images/Plants/Wildflowers & Herbs/Southern Seaside Spurge_2.jpg
roundpod St. John's-wort,Hypericum cistifolium,CLUSIACEAE,Wildflowers & Herbs,Hypericum cistifolium is a shrub in the family Hypericaceae native in the southeastern United States. Plants in the genus Hypericum are referred to as St. John's wort.,,FL: S5 · NatureServe: G5,1,132051,images/Plants/Wildflowers & Herbs/roundpod St. John's-wort_1.jpg,images/Plants/Wildflowers & Herbs/roundpod St. John's-wort_2.jpg
shortleaf yellow-eyed grass,Xyris brevifolia,XYRIDACEAE,Wildflowers & Herbs,"Xyris brevifolia, the shortleaf yelloweyed grass,  is a North American species of flowering plant in the yellow-eyed-grass family. It is native to Brazil, the West Indies, and the southeastern United States (Florida, Alabama, Georgia, and the Carolinas).
Xyris brevifolia  is a perennial herb up to 60 cm (2 feet) tall with narrow leaves  up to 15 cm (6 inches) long, and yellow flowers.
It is found most commonly in habitat types such as river floodplains, coastal mesic flatwoods, and cypress depression swamps. It also occurs in disturbed habitats.",,,1,132683,images/Plants/Wildflowers & Herbs/shortleaf yellow-eyed grass_1.jpg,images/Plants/Wildflowers & Herbs/shortleaf yellow-eyed grass_2.jpg
Elliott's Yelloweyed Grass,Xyris elliottii,XYRIDACEAE,Wildflowers & Herbs,"Xyris stenotera was recently recognized as a species, distinguished by its filiform leaves and occurrence in sandhill-associated wetlands (Bridges &amp; Orzell in Weakley et al. 2020).",,IUCN Red List: LC,1,132684,images/Plants/Wildflowers & Herbs/Elliott's Yelloweyed Grass_1.jpg,images/Plants/Wildflowers & Herbs/Elliott's Yelloweyed Grass_2.jpg
whitetop sedge,Rhynchospora colorata,CYPERACEAE,Wildflowers & Herbs,"Rhynchospora colorata, also known as starrush whitetop, white star sedge and white-topped sedge, is a perennial flowering plant in the sedge family. It has white bracts, giving it the appearance of white petals with long, green points. It is native to southeastern North America, from Virginia west to New Mexico in the United States, and south into the Caribbean islands.
The inflorescence is a dense cluster of small spikes, each containing several tiny flowers. It sits on top of 3–10 green and white bracts that grow to 10–15 cm long.",,,1,132685,images/Plants/Wildflowers & Herbs/whitetop sedge_1.jpg,images/Plants/Wildflowers & Herbs/whitetop sedge_2.jpg
common axil-flower,Mecardonia acuminata,PLANTAGINACEAE,Wildflowers & Herbs,"Mecardonia acuminata, commonly known as the common axil-flower, pond axil-flower, or Florida axil-flower, is a perennial wildflower found in North America.",,,1,132746,images/Plants/Wildflowers & Herbs/common axil-flower_1.jpg,images/Plants/Wildflowers & Herbs/common axil-flower_2.jpg
Hedgehog Sphagnum,Sphagnum perichaetiale,SPHAGNACEAE,Wildflowers & Herbs,"Sphagnum is a genus of approximately 380 accepted species of mosses, commonly known as sphagnum moss, also bog moss and quacker moss (although that term is also sometimes used for peat). Accumulations of Sphagnum can store water, since both living and dead plants can hold large quantities of water inside their cells; plants may hold 16 to 26 times as much water as their dry weight, depending on the species. The empty cells help retain water in drier conditions.",,,1,132811,images/Plants/Wildflowers & Herbs/Hedgehog Sphagnum_1.jpg,images/Plants/Wildflowers & Herbs/Hedgehog Sphagnum_2.jpg
Old World Diamond Flower,Oldenlandia corymbosa,RUBIACEAE,Wildflowers & Herbs,"Oldenlandia corymbosa, commonly known as flat-top mille graines  or diamond flower, is a species of plant in the family Rubiaceae. It is a commonly used herb in China and India for treating sore eyes, anthelmintic, antirheumatic, depurative, digestive, diuretic, pectoral, fever, jaundice, child birth, and stomachic medicine, while the roots are reported to have vermifuge properties.",,,1,133304,images/Plants/Wildflowers & Herbs/Old World Diamond Flower_1.jpg,images/Plants/Wildflowers & Herbs/Old World Diamond Flower_2.jpg
Rough Hedgehyssop,Gratiola hispida,Plantaginaceae,Wildflowers & Herbs,Gratiola hispida is a small perennial flowering plant. Its common name is rough hedgehyssop. It has white flowers. Its stems are villous. It grows in the southeastern United States.,,FL: S5 · NatureServe: G3G5,1,133475,images/Plants/Wildflowers & Herbs/Rough Hedgehyssop_1.jpg,images/Plants/Wildflowers & Herbs/Rough Hedgehyssop_2.jpg
hairy lespedeza,Lespedeza hirta,Fabaceae,Wildflowers & Herbs,"Hairy bush-clover is a fairly distinctive member of this genus, with cream-colored flowers largely hidden by the narrow hairy calyx lobes that taper to a sharp point and gradually turn brown.","Anthropogenic (human-disturbed or -maintained habitats), woodlands",IUCN Red List: LC,1,138983,images/Plants/Wildflowers & Herbs/hairy lespedeza_1.jpg,images/Plants/Wildflowers & Herbs/hairy lespedeza_2.jpg
St. Peter's-wort,Hypericum crux-andreae,CLUSIACEAE,Wildflowers & Herbs,"Hypericum crux-andreae, commonly called St. Peter's-wort, is a small shrubby flowering plant in the St. John's wort family Hypericaceae. It is native to Eastern North America, where it is primarily found in the sandy soils of the Coastal Plain with extensions into the Piedmont and Cumberland Plateau.
H. crux-andreae is a perennial shrub that may reach a height between 4 and 10 decimeters (approximately 1.3 to 3.3 feet).",,,1,152134,images/Plants/Wildflowers & Herbs/St. Peter's-wort_1.jpg,images/Plants/Wildflowers & Herbs/St. Peter's-wort_2.jpg
Southern Wiregrass,Aristida beyrichiana,Poaceae,Wildflowers & Herbs,"Aristida is a very nearly cosmopolitan genus of plants in the grass family. Aristida is distinguished by having three awns (bristles) on each lemma of each floret. The genus includes about 300 species found worldwide, often in arid warm regions.",,,1,158654,images/Plants/Wildflowers & Herbs/Southern Wiregrass_1.jpg,images/Plants/Wildflowers & Herbs/Southern Wiregrass_2.jpg
fewflower milkweed,Asclepias lanceolata,APOCYNACEAE,Wildflowers & Herbs,"Asclepias lanceolata, the fewflower milkweed, is a species of milkweed that is native to the coastal plain of the United States from New Jersey to Florida and Southeast Texas. A. lanceolata is an upright, perennial plant that can grow between 3 and 5 feet tall, with red-orange flowers blooming in the summer months.  It can also be referred to as Cedar Hill milkweed, as it was first described by Dr. Eli Ives in the neighborhood of Cedar Hill  in New Haven, Connecticut.",,FL: S4S5 · NatureServe: G5,1,158744,images/Plants/Wildflowers & Herbs/fewflower milkweed_1.jpg,images/Plants/Wildflowers & Herbs/fewflower milkweed_2.jpg
Michaux's milkweed,Asclepias michauxii,APOCYNACEAE,Wildflowers & Herbs,"Asclepias michauxii, or Michaux's milkweed, is a species of flowering plant in the family Apocynaceae. It is endemic to the southeastern United States, where it occurs from southeastern North Carolina south to peninsular Florida and west to eastern Louisiana.",,FL: S4? · NatureServe: G4G5,1,158750,images/Plants/Wildflowers & Herbs/Michaux's milkweed_1.jpg,images/Plants/Wildflowers & Herbs/Michaux's milkweed_2.jpg
pineland milkweed,Asclepias obovata,APOCYNACEAE,Wildflowers & Herbs,"Asclepias is a genus of herbaceous, perennial, flowering plants known as milkweeds, named for their latex, a milky substance containing cardiac glycosides termed cardenolides, exuded where cells are damaged. Most species are toxic to humans and many other species, primarily due to the presence of cardenolides. However, as with many such plants, some species feed upon milkweed leaves or the nectar from their flowers.",,FL: S3 · NatureServe: G5?,1,158752,images/Plants/Wildflowers & Herbs/pineland milkweed_1.jpg,images/Plants/Wildflowers & Herbs/pineland milkweed_2.jpg
White Screwstem,Bartonia verna,GENTIANACEAE,Wildflowers & Herbs,"Bartonia is a genus of the gentian family, tribe Gentianeae, subtribe Swertiinae. Members of this genus are called screwstems.  Bartonia was also the name of a genus in the Loasaceae family, but those species are now generally classified under the genus Mentzelia.",,,1,159180,images/Plants/Wildflowers & Herbs/White Screwstem_1.jpg,images/Plants/Wildflowers & Herbs/White Screwstem_2.jpg
Bunchy flat-sedge,Cyperus polystachyos,Cyperaceae,Wildflowers & Herbs,"Many-spiked flatsedge is a native plant of sandy pond shores, ditches, and the wetlands between sand dunes near the coasts of Massachusetts, Maine and Rhode Island. It is distributed as far away as Australia, where it is also considered native, if a bit weedy. It fruits in late summer to early fall, when its spikes become a deep, lustrous brown.","Anthropogenic (human-disturbed or -maintained habitats), shores of rivers or lakes, wetland margins (edges of wetlands)",IUCN Red List: LC,1,161476,images/Plants/Wildflowers & Herbs/Bunchy flat-sedge_1.jpg,images/Plants/Wildflowers & Herbs/Bunchy flat-sedge_2.jpg
Red Lovegrass,Eragrostis secundiflora,POACEAE,Wildflowers & Herbs,"Eragrostis secundiflora (syn. Eragrostis oxylepis), red lovegrass, is a species of flowering plant in the family Poaceae, native to the central and southern United States, Mexico, and northern South America. A perennial reaching at most 70 cm (28 in), it is found in prairies and open woodlands, typically in sandy soils. Its seeds are considerably larger than other species of Eragrostis.",,,1,162407,images/Plants/Wildflowers & Herbs/Red Lovegrass_1.jpg,images/Plants/Wildflowers & Herbs/Red Lovegrass_2.jpg
Southeastern Sneezeweed,Helenium pinnatifidum,ASTERACEAE,Wildflowers & Herbs,"Helenium pinnatifidum is a North American perennial plant in the sunflower family, commonly known as southeastern sneezeweed or savanna sneezeweed. It is found in the southeaster United States (Alabama, Georgia, Florida, and the Carolinas).
Helenium pinnatifidum is a perennial herb up to 80 cm (31.5 in) tall, with small wings running down the sides of the stems. Leaves are pinnatifid, meaning deeply divided into many small parts. One plant generally produces only 1-3 hemispherical flower heads, about 2 cm (1 in) across.",,,1,163590,images/Plants/Wildflowers & Herbs/Southeastern Sneezeweed_1.jpg,images/Plants/Wildflowers & Herbs/Southeastern Sneezeweed_2.jpg
swamp star grass,Hypoxis curtissii,HYPOXIDACEAE,Wildflowers & Herbs,"Hypoxis  is a  genus of flowering plants of the family Hypoxidaceae. The genus has an ""almost cosmopolitan"" distribution, occurring in Africa, the Americas, Asia, and Australia. Europe lacks native species.",,,1,164016,images/Plants/Wildflowers & Herbs/swamp star grass_1.jpg,images/Plants/Wildflowers & Herbs/swamp star grass_2.jpg
Redpod Rush,Juncus trigonocarpus,JUNCACEAE,Wildflowers & Herbs,"Juncus is a genus of monocotyledonous flowering plants, commonly known as rushes. It is the largest genus in the family Juncaceae, containing around 340 species.",,,1,164289,images/Plants/Wildflowers & Herbs/Redpod Rush_1.jpg,images/Plants/Wildflowers & Herbs/Redpod Rush_2.jpg
Carolina redroot,Lachnanthes caroliana,HAEMODORACEAE,Wildflowers & Herbs,"The basionym protologue used the epithet &quot;caroliana&quot; and it is not correctable to &quot;caroliniana&quot; (Art. 60), as preferred by some authors (Gandhi 1999), according to IPNI. See: https://www.ipni.org/n/80368-2",,FL: S5 · IUCN Red List: LC · NatureServe: G5 · US: N5,1,164401,images/Plants/Wildflowers & Herbs/Carolina redroot_1.jpg,images/Plants/Wildflowers & Herbs/Carolina redroot_2.jpg
Engler's bogbutton,Lachnocaulon engleri,ERIOCAULACEAE,Wildflowers & Herbs,"Lachnocaulon (bogbutton) is a genus of plants in the Eriocaulaceae. It contains 7 known species, native to Cuba and to the southeastern United States (from Texas to Virginia).",,NatureServe: G3 · US: N3,1,164405,images/Plants/Wildflowers & Herbs/Engler's bogbutton_1.jpg,images/Plants/Wildflowers & Herbs/Engler's bogbutton_2.jpg
Pineland Lantana,Lantana depressa,VERBENACEAE,Wildflowers & Herbs,"Lantana () is a genus of about 150 species of perennial flowering plants in the verbena family, Verbenaceae. They are native to tropical regions of the Americas and Africa but exist as an introduced species in numerous areas, especially in the Australian-Pacific region, South and Northeastern part of India. The genus includes both herbaceous plants and shrubs growing to 0.5–2 m (1.6–6.6 ft) tall.",,FL: SNR · NatureServe: G2,1,164423,images/Plants/Wildflowers & Herbs/Pineland Lantana_1.jpg,
white moss,Leucobryum albidum,LEUCOBRYACEAE,Wildflowers & Herbs,Leucobryum albidum (common name pincushion moss) is a species of moss with a wide distribution in the northern and southern hemispheres. This plant first appeared in scientific literature as Dicranum albidum in 1805 published by the French naturalist Palisot de Beauvois.,,,1,164650,images/Plants/Wildflowers & Herbs/white moss_1.jpg,images/Plants/Wildflowers & Herbs/white moss_2.jpg
Horseeye Bean,Mucuna sloanei,FABACEAE,Wildflowers & Herbs,Mucuna is a genus of vines and shrubs of the legume family Fabaceae: tribe Phaseoleae. It has a pan-tropical distribution and contains 112 accepted species as of July 2025. The genus was created in 1763 by French botanist Michel Adanson.,,US: G5,1,165537,images/Plants/Wildflowers & Herbs/Horseeye Bean_1.jpg,images/Plants/Wildflowers & Herbs/Horseeye Bean_2.jpg
Big Floatingheart,Nymphoides aquatica,MENYANTHACEAE,Wildflowers & Herbs,"Nymphoides aquatica is an aquatic plant in the  Menyanthaceae, native to the southeastern United States from Texas to Maryland. It is known variously as the banana plant, banana lily, banana floatingheart, and the big floatingheart. It is most commonly called the banana plant because of its banana-shaped roots. These unusual roots store nutrients.",,,1,165757,images/Plants/Wildflowers & Herbs/Big Floatingheart_1.jpg,images/Plants/Wildflowers & Herbs/Big Floatingheart_2.jpg
Bitter Panicgrass,Panicum amarum,Poaceae,Wildflowers & Herbs,"Bitter panicgrass inhabits beaches, dunes and sandy roadsides along the coast. There are two subspecies in New England. One (Panicum amarum ssp. amarum) is an endangered species from Connecticut and Rhode Island, while the other (P. amarum ssp. amarulum) is introduced, and found in Connecticut and Massachusetts.","Anthropogenic (human-disturbed or -maintained habitats), coastal beaches (sea beaches), dunes",,1,166067,images/Plants/Wildflowers & Herbs/Bitter Panicgrass_1.jpg,images/Plants/Wildflowers & Herbs/Bitter Panicgrass_2.jpg
Small butterwort,Pinguicula pumila,LENTIBULARIACEAE,Wildflowers & Herbs,"Pinguicula pumila, commonly known as the small butterwort or dwarf butterwort is a small species of carnivorous plant in the genus Pinguicula. It is native to the southeastern United States, where it grows in habitats where soil is poor in nutrition.",,,1,166889,images/Plants/Wildflowers & Herbs/Small butterwort_1.jpg,images/Plants/Wildflowers & Herbs/Small butterwort_2.jpg
Grassleaf Goldaster,Pityopsis oligantha,ASTERACEAE,Wildflowers & Herbs,"Pityopsis is a genus of North American plants in the tribe Astereae within the family Asteraceae.  Species of Pityopsis are known by the common names silkgrass or golden asters or grass-leaved goldenasters .

Species
Pityopsis aspera (Shuttlw.",,FL: S3 · NatureServe: G2? · US: N2?,1,166940,images/Plants/Wildflowers & Herbs/Grassleaf Goldaster_1.jpg,images/Plants/Wildflowers & Herbs/Grassleaf Goldaster_2.jpg
Largeleaf Jointweed,Polygonella macrophylla,Polygonaceae,Wildflowers & Herbs,Polygonum smallianum (synonym Polygonella macrophylla) is a species of flowering plant in the knotweed family known by the common name largeleaf jointweed. It is native to a small area around the border between Alabama and Florida in the United States.,,,1,167219,images/Plants/Wildflowers & Herbs/Largeleaf Jointweed_1.jpg,images/Plants/Wildflowers & Herbs/Largeleaf Jointweed_2.jpg
October Flower,Polygonella polygama,Polygonaceae,Wildflowers & Herbs,"Polygonum polygamum, commonly referred to as october-flower, is a species of flowering plant endemic to the US southeast coastal plain.",,,1,167222,images/Plants/Wildflowers & Herbs/October Flower_1.jpg,images/Plants/Wildflowers & Herbs/October Flower_2.jpg
Yaupon Blacksenna,Seymeria cassioides,OROBANCHACEAE,Wildflowers & Herbs,"Seymeria cassioides, commonly called yaupon black-senna or senna seymeria, is a species of annual forb found in North America. It is a species of obligate hermiparasite found on various species of pine.",,NatureServe: G5,1,168893,images/Plants/Wildflowers & Herbs/Yaupon Blacksenna_1.jpg,images/Plants/Wildflowers & Herbs/Yaupon Blacksenna_2.jpg
Coastal Plain Blue-eyed Grass,Sisyrinchium fuscatum,Iridaceae,Wildflowers & Herbs,"Coastal plain blue-eyed-grass, as the name suggests, is native to the coastal plain from Mississippi to Massachusetts. In New England it is a very rare inhabitant of sandy grasslands and pine barrens in Massachusetts and Rhode Island.","Grassland, meadows and fields, sandplains and barrens",,1,169019,images/Plants/Wildflowers & Herbs/Coastal Plain Blue-eyed Grass_1.jpg,images/Plants/Wildflowers & Herbs/Coastal Plain Blue-eyed Grass_2.jpg
Lanceleaf Greenbrier,Smilax smallii,SMILACACEAE,Wildflowers & Herbs,Smilax maritima is a North American species of plants native to the south-eastern United States from Texas to North Carolina.,,FL: S5 · NatureServe: G5?,1,169048,images/Plants/Wildflowers & Herbs/Lanceleaf Greenbrier_1.jpg,images/Plants/Wildflowers & Herbs/Lanceleaf Greenbrier_2.jpg
woodland ladies'-tresses,Spiranthes sylvatica,Orchidaceae,Wildflowers & Herbs,"Spiranthes sylvatica, the woodland ladies' tresses or pale-green ladies'-tresses is a terrestrial orchid endemic to the United States, very similar in appearance and range to Spiranthes praecox which it had been considered a variation of for a long time.",,,1,169274,images/Plants/Wildflowers & Herbs/woodland ladies'-tresses_1.jpg,images/Plants/Wildflowers & Herbs/woodland ladies'-tresses_2.jpg
swollen bladderwort,Utricularia inflata,Lentibulariaceae,Wildflowers & Herbs,"Swollen bladderwort is native to southern and eastern North America, but it has been introduced in Massachusetts, as well as New York and the state of Washington. This species can be quite invasive, becoming dominant in ponds and displacing other native aquatic plants. It may be expected to continue expanding its range.",Lacustrine (in lakes or ponds),NatureServe: G5,1,170086,images/Plants/Wildflowers & Herbs/swollen bladderwort_1.jpg,images/Plants/Wildflowers & Herbs/swollen bladderwort_2.jpg
